Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,@esbuild/linux-loong64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/linux-loong64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/linux-mips64el,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/linux-mips64el@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/linux-ppc64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/linux-ppc64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/linux-riscv64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/linux-riscv64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/linux-s390x,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/linux-s390x@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/linux-x64,0.27.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40esbuild/linux-x64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/netbsd-arm64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/netbsd-arm64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/netbsd-x64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/netbsd-x64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/openbsd-arm64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/openbsd-arm64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/openbsd-x64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/openbsd-x64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/openharmony-arm64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/openharmony-arm64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/sunos-x64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/sunos-x64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/win32-arm64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/win32-arm64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/win32-ia32,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/win32-ia32@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/win32-x64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/win32-x64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/accept-negotiator,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/accept-negotiator@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/ajv-compiler,4.0.5,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/ajv-compiler@4.0.5,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/busboy,3.2.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/busboy@3.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
